month,repository_language,pushes
2012-12,SuperCollider,63
2012-12,Logtalk,133
2012-12,Elixir,388
2012-12,Smalltalk,402
2012-12,Vala,353
2012-12,Factor,76
2012-12,ooc,303
2012-12,Rust,1220
2012-12,Turing,25
2012-12,Dart,1288
2012-12,DCPU-16 ASM,161
2012-12,Arduino,2132
2012-12,Standard ML,528
2012-12,Common Lisp,2417
2012-12,D,2358
2012-12,OCaml,4164
2012-12,HaXe,874
2012-12,OpenEdge ABL,367
2012-12,Groovy,5413
2012-12,ActionScript,5775
2012-12,F#,1305
2012-12,Fantom,2
2012-12,Puppet,4479
2012-12,Coq,332
2012-11,Verilog,938
2012-11,HaXe,1259
2012-11,Fancy,5
2012-11,Standard ML,299
2012-11,Vala,421
2012-11,AutoHotkey,324
2012-11,ASP,1830
2012-11,PowerShell,1028
2012-11,Ada,118
2012-11,Apex,475
2012-11,C,127191
2012-11,OCaml,2907
2012-11,null,239886
2012-11,Objective-C,42697
2012-11,Python,206203
2012-11,Java,287500
2012-11,DCPU-16 ASM,125
2012-11,Matlab,3144
2012-11,Ruby,233071
2012-11,D,2828
2012-11,FORTRAN,1490
2012-11,Rust,1133
2012-11,Scheme,1343
2012-11,VHDL,845
2012-11,OpenEdge ABL,477
2012-11,ActionScript,5812
2012-11,Objective-J,184
2012-11,Arduino,1949
2012-11,Perl,28803
2012-11,C#,49204
2012-11,JavaScript,426480
2012-11,PHP,209353
2012-11,Haskell,12262
2012-11,CoffeeScript,13079
2012-11,F#,1075
2012-11,Shell,63306
2012-11,Go,9245
2012-11,Clojure,7615
2012-11,R,5991
2012-11,Prolog,835
2012-11,Dart,2217
2012-11,VimL,28933
2012-11,Racket,2335
2012-11,Scala,15549
2012-11,Assembly,1908
2012-11,Groovy,6381
2012-11,Tcl,387
2012-11,Common Lisp,2753
2012-11,Lua,10828
2012-11,Visual Basic,1832
2012-11,Emacs Lisp,11704
2012-11,Erlang,6674
2012-11,Puppet,5653
2012-11,Delphi,1646
2012-11,ColdFusion,1471
2012-11,Scilab,83
2012-11,Arc,63
2012-11,Ceylon,23
2012-11,Max,19
2012-11,Gosu,27
2012-11,ooc,113
2012-11,Coq,307
2012-11,SuperCollider,179
2012-11,Pure Data,117
2012-11,Elixir,337
2012-11,Julia,852
